sample#,time(ms),Value
516,1032,-2132.5
517,1034,-1180.65
518,1036,-421.139
519,1038,-1074.78
520,1040,-2020.66
521,1042,-2533.73
522,1044,-2896.76
523,1046,-3084.18
524,1048,-3101.53
525,1050,-3186.17
526,1052,-2763.28
527,1054,-912.649
528,1056,1310
529,1058,3359.1
530,1060,4946.02
531,1062,5294.56
532,1064,5014.42
533,1066,4376.33
534,1068,3407.28
535,1070,2129.65
536,1072,825.117
537,1074,-110.608
538,1076,-925.401
539,1078,-1690.51
540,1080,-2428.75
541,1082,-3329.69
542,1084,-4069.47
543,1086,-4540.79
544,1088,-4420.01
545,1090,-2983.98
546,1092,-1071.98
547,1094,878.845
548,1096,2638.8
549,1098,3629.36
550,1100,4239.99
551,1102,4768.99
552,1104,4853.8
553,1106,4043.51
554,1108,2845.7
555,1110,1460.47
556,1112,165.593
557,1114,-495.707
558,1116,-952.368
559,1118,-1464.95
560,1120,-1889.21
561,1122,-2164.18
562,1124,-2353.17
563,1126,-2468.65
564,1128,-2570.05
565,1130,-2792.42
566,1132,-2969.03
567,1134,-3057.34
568,1136,-2898.2
569,1138,-2160.95
570,1140,-1209.48
571,1142,-199.571
572,1144,706.36
573,1146,1140.84
574,1148,1433.96
575,1150,1768.63
576,1152,2126.06
577,1154,2631.99
578,1156,3126.88
579,1158,3614.7
580,1160,3833.71
581,1162,3575.8
582,1164,2717.75
583,1166,389.304
584,1168,-1847.51
585,1170,-2191.22
586,1172,-2079.45
587,1174,-2464.75
588,1176,-2694.99
589,1178,-2132.55
590,1180,-1695.57
591,1182,-2607
592,1184,-3506.95
593,1186,-3428.71
594,1188,-2663.55
595,1190,-447.737
596,1192,1685.52
597,1194,1942.02
598,1196,1703.88
599,1198,1731.46
